,AutoModerator,SalsaDraugur,Gloomy-Concentrate-2,Apollo_Danger,kchambers92,Walrusin_about,Chicken-fork-king,KeziaTML,Krombopulos-Savage,Olaaphrodite,Pikalika,Bigbam51,coppertech,tryM3B1tch,Vaelthune,Draxtonsmitz,RecklessGeek,soda_fucker,Tinkerballsack,neuromorph,AzureDementia,OneOverX,GrumpMcTaco,bongowasd,holololo2323,pumpkin2500,[deleted],VanCortez,potato_famine69,[deleted],mennnnnnnnnnnnnnn,YuhboiGabe,PAPAxJI,Strict_Grab_6587,Aggressive-Mix-7923,SnooBananas6578,Opening_Builder9027,Longjumping_Key_1624,0507gotquestions,Repulsive_Home_5914,tomorrowlanding
AutoModerator,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SalsaDraugur,1.0,0.0,0.92,0.96,0.9583333333333334,0.9285714285714286,0.9361702127659575,1.0,0.9411764705882353,1.0,1.0,1.0,0.9454545454545454,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.85,0.9487179487179487,0.9259259259259259,0.875,0.9,0.9655172413793104,1.0,0.9767441860465116,0.9411764705882353,0.9473684210526316,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Gloomy-Concentrate-2,1.0,0.92,0.0,1.0,0.9574468085106383,0.9642857142857143,0.9574468085106383,1.0,1.0,1.0,0.9696969696969697,1.0,0.9821428571428571,0.9230769230769231,0.9642857142857143,1.0,0.9285714285714286,1.0,1.0,1.0,0.9523809523809523,1.0,0.962962962962963,0.9393939393939394,1.0,1.0,1.0,0.9761904761904762,1.0,0.9736842105263158,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Apollo_Danger,1.0,0.96,1.0,0.0,0.9787234042553191,0.962962962962963,0.9787234042553191,0.9333333333333333,0.9333333333333333,1.0,1.0,1.0,0.962962962962963,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9736842105263158,0.9615384615384616,0.9696969696969697,0.9473684210526316,0.962962962962963,1.0,0.95,0.9333333333333333,0.9444444444444444,1.0,1.0,1.0,1.0,0.9375,1.0,0.9411764705882353,1.0,1.0,1.0,1.0
kchambers92,1.0,0.9583333333333334,0.9574468085106383,0.9787234042553191,0.0,0.9387755102040817,0.9714285714285714,1.0,1.0,1.0,0.9636363636363636,1.0,0.961038961038961,0.9375,0.96,1.0,1.0,1.0,1.0,1.0,0.9534883720930233,1.0,0.8913043478260869,0.9642857142857143,0.9767441860465116,0.9387755102040817,0.9743589743589743,0.96875,1.0,0.8928571428571429,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9767441860465116,1.0
Walrusin_about,1.0,0.9285714285714286,0.9642857142857143,0.962962962962963,0.9387755102040817,0.0,0.9803921568627451,1.0,1.0,1.0,0.9722222222222222,1.0,0.9830508474576272,1.0,0.967741935483871,1.0,1.0,1.0,1.0,0.9444444444444444,1.0,0.925,0.9666666666666667,0.9444444444444444,0.9565217391304348,0.896551724137931,1.0,1.0,0.9473684210526316,0.975609756097561,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Chicken-fork-king,1.0,0.9361702127659575,0.9574468085106383,0.9787234042553191,0.9714285714285714,0.9803921568627451,0.0,1.0,0.9743589743589743,1.0,0.9821428571428571,1.0,0.961038961038961,1.0,1.0,0.9777777777777777,0.972972972972973,1.0,0.975,1.0,0.9534883720930233,0.9672131147540983,0.9591836734693877,0.9259259259259259,0.9523809523809523,0.9803921568627451,1.0,0.96875,0.9743589743589743,0.9310344827586207,1.0,1.0,1.0,1.0,1.0,1.0,0.975609756097561,1.0,1.0,1.0,1.0
KeziaTML,1.0,1.0,1.0,0.9333333333333333,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Krombopulos-Savage,1.0,0.9411764705882353,1.0,0.9333333333333333,1.0,1.0,0.9743589743589743,1.0,0.0,0.8888888888888888,0.9583333333333334,1.0,0.9787234042553191,1.0,0.9473684210526316,1.0,1.0,1.0,1.0,1.0,1.0,0.9310344827586207,0.9444444444444444,1.0,0.8,0.9473684210526316,1.0,0.9696969696969697,0.6666666666666667,0.9655172413793104,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Olaaphrodite,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8888888888888888,0.0,1.0,1.0,0.9795918367346939,0.8947368421052632,1.0,1.0,1.0,1.0,0.9,1.0,1.0,0.96875,1.0,1.0,1.0,0.9523809523809523,1.0,0.9714285714285714,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Pikalika,1.0,1.0,0.9696969696969697,1.0,0.9636363636363636,0.9722222222222222,0.9821428571428571,1.0,0.9583333333333334,1.0,0.0,1.0,1.0,0.9714285714285714,0.9722222222222222,0.9666666666666667,0.9545454545454546,1.0,1.0,1.0,1.0,0.9787234042553191,1.0,0.9512195121951219,0.9642857142857143,1.0,1.0,0.98,0.9583333333333334,0.9555555555555556,0.9523809523809523,0.9523809523809523,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Bigbam51,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
coppertech,1.0,0.9454545454545454,0.9821428571428571,0.962962962962963,0.961038961038961,0.9830508474576272,0.961038961038961,1.0,0.9787234042553191,0.9795918367346939,1.0,1.0,0.0,0.9649122807017544,0.9655172413793104,1.0,1.0,1.0,1.0,0.9782608695652174,0.9607843137254902,0.9402985074626866,0.9464285714285714,0.96875,0.9803921568627451,0.9655172413793104,1.0,0.9577464788732395,0.9565217391304348,0.9552238805970149,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tryM3B1tch,1.0,1.0,0.9230769230769231,1.0,0.9375,1.0,1.0,1.0,1.0,0.8947368421052632,0.9714285714285714,1.0,0.9649122807017544,0.0,0.9666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,0.975609756097561,0.9285714285714286,1.0,1.0,0.9666666666666667,1.0,0.9534883720930233,1.0,0.975,1.0,1.0,1.0,1.0,0.9473684210526316,1.0,1.0,1.0,1.0,0.9545454545454546,1.0
Vaelthune,1.0,1.0,0.9642857142857143,1.0,0.96,0.967741935483871,1.0,1.0,0.9473684210526316,1.0,0.9722222222222222,1.0,0.9655172413793104,0.9666666666666667,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9761904761904762,0.9666666666666667,1.0,0.9565217391304348,0.967741935483871,1.0,0.9777777777777777,0.9473684210526316,0.975609756097561,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Draxtonsmitz,1.0,1.0,1.0,1.0,1.0,1.0,0.9777777777777777,1.0,1.0,1.0,0.9666666666666667,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9722222222222222,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9090909090909091,0.9,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RecklessGeek,1.0,1.0,0.9285714285714286,1.0,1.0,1.0,0.972972972972973,1.0,1.0,1.0,0.9545454545454546,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
soda_fucker,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9642857142857143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Tinkerballsack,1.0,1.0,1.0,1.0,1.0,1.0,0.975,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
neuromorph,1.0,0.9375,1.0,1.0,1.0,0.9444444444444444,1.0,1.0,1.0,1.0,1.0,1.0,0.9782608695652174,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9655172413793104,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AzureDementia,1.0,0.85,0.9523809523809523,1.0,0.9534883720930233,1.0,0.9534883720930233,1.0,1.0,1.0,1.0,1.0,0.9607843137254902,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9565217391304348,0.8928571428571429,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
OneOverX,1.0,0.9487179487179487,1.0,0.9736842105263158,1.0,0.925,0.9672131147540983,1.0,0.9310344827586207,0.96875,0.9787234042553191,1.0,0.9402985074626866,0.975609756097561,0.9761904761904762,0.9722222222222222,1.0,1.0,1.0,0.9655172413793104,1.0,0.0,0.95,1.0,0.9393939393939394,0.925,1.0,0.9636363636363636,0.8928571428571429,0.9607843137254902,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GrumpMcTaco,1.0,0.9259259259259259,0.962962962962963,0.9615384615384616,0.8913043478260869,0.9666666666666667,0.9591836734693877,1.0,0.9444444444444444,1.0,1.0,1.0,0.9464285714285714,0.9285714285714286,0.9666666666666667,1.0,1.0,1.0,1.0,1.0,0.9565217391304348,0.95,0.0,0.9722222222222222,0.9545454545454546,0.8928571428571429,1.0,0.9534883720930233,0.8823529411764706,0.9487179487179487,1.0,1.0,1.0,1.0,1.0,0.8823529411764706,1.0,1.0,1.0,1.0,1.0
bongowasd,1.0,0.875,0.9393939393939394,0.9696969696969697,0.9642857142857143,0.9444444444444444,0.9259259259259259,1.0,1.0,1.0,0.9512195121951219,1.0,0.96875,1.0,1.0,1.0,1.0,0.9642857142857143,1.0,1.0,0.8928571428571429,1.0,0.9722222222222222,0.0,0.9655172413793104,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
holololo2323,1.0,0.9,1.0,0.9473684210526316,0.9767441860465116,0.9565217391304348,0.9523809523809523,1.0,0.8,1.0,0.9642857142857143,1.0,0.9803921568627451,1.0,0.9565217391304348,1.0,1.0,1.0,1.0,1.0,1.0,0.9393939393939394,0.9545454545454546,0.9655172413793104,0.0,0.9565217391304348,1.0,0.972972972972973,0.8,0.9032258064516129,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pumpkin2500,1.0,0.9655172413793104,1.0,0.962962962962963,0.9387755102040817,0.896551724137931,0.9803921568627451,1.0,0.9473684210526316,0.9523809523809523,1.0,1.0,0.9655172413793104,0.9666666666666667,0.967741935483871,1.0,1.0,1.0,1.0,1.0,1.0,0.925,0.8928571428571429,1.0,0.9565217391304348,0.0,1.0,0.9545454545454546,0.8888888888888888,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[deleted],1.0,1.0,1.0,1.0,0.9743589743589743,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9655172413793104,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
VanCortez,1.0,0.9767441860465116,0.9761904761904762,0.95,0.96875,1.0,0.96875,1.0,0.9696969696969697,0.9714285714285714,0.98,1.0,0.9577464788732395,0.9534883720930233,0.9777777777777777,1.0,1.0,1.0,1.0,1.0,1.0,0.9636363636363636,0.9534883720930233,1.0,0.972972972972973,0.9545454545454546,1.0,0.0,0.9696969696969697,0.962962962962963,1.0,1.0,1.0,1.0,1.0,0.9696969696969697,0.9714285714285714,1.0,1.0,0.9444444444444444,1.0
potato_famine69,1.0,0.9411764705882353,1.0,0.9333333333333333,1.0,0.9473684210526316,0.9743589743589743,1.0,0.6666666666666667,1.0,0.9583333333333334,1.0,0.9565217391304348,1.0,0.9473684210526316,1.0,1.0,1.0,1.0,0.8333333333333334,1.0,0.8928571428571429,0.8823529411764706,1.0,0.8,0.8888888888888888,1.0,0.9696969696969697,0.0,0.9655172413793104,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[deleted],1.0,0.9473684210526316,0.9736842105263158,0.9444444444444444,0.8928571428571429,0.975609756097561,0.9310344827586207,1.0,0.9655172413793104,1.0,0.9555555555555556,1.0,0.9552238805970149,0.975,0.975609756097561,0.9090909090909091,1.0,1.0,0.9666666666666667,1.0,1.0,0.9607843137254902,0.9487179487179487,1.0,0.9032258064516129,0.95,0.9655172413793104,0.962962962962963,0.9655172413793104,0.0,0.9615384615384616,0.9615384615384616,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mennnnnnnnnnnnnnn,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9523809523809523,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9615384615384616,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
YuhboiGabe,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9523809523809523,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9615384615384616,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PAPAxJI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Strict_Grab_6587,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Aggressive-Mix-7923,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9473684210526316,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
SnooBananas6578,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8823529411764706,1.0,1.0,1.0,1.0,0.9696969696969697,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Opening_Builder9027,1.0,1.0,1.0,0.9411764705882353,1.0,1.0,0.975609756097561,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9714285714285714,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Longjumping_Key_1624,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
0507gotquestions,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
Repulsive_Home_5914,1.0,1.0,1.0,1.0,0.9767441860465116,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9545454545454546,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9444444444444444,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
tomorrowlanding,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
