,AutoModerator,SalsaDraugur,Gloomy-Concentrate-2,Apollo_Danger,kchambers92,Walrusin_about,Chicken-fork-king,KeziaTML,Krombopulos-Savage,Olaaphrodite,Pikalika,Bigbam51,coppertech,tryM3B1tch,Vaelthune,Draxtonsmitz,RecklessGeek,soda_fucker,Tinkerballsack,neuromorph,AzureDementia,OneOverX,GrumpMcTaco,bongowasd,holololo2323,pumpkin2500,[deleted],VanCortez,potato_famine69,[deleted].1,mennnnnnnnnnnnnnn,YuhboiGabe,PAPAxJI,Strict_Grab_6587,Aggressive-Mix-7923,SnooBananas6578,Opening_Builder9027,Longjumping_Key_1624,0507gotquestions,Repulsive_Home_5914,tomorrowlanding
AutoModerator,6.413411329464503,6.174970785048497,6.101190810883955,6.12047870922081,6.130427440300962,6.11767878620832,6.116749200185291,6.023164821973158,6.18388993484397,6.076604613539821,6.096074377829004,6.013834928570776,6.11125236062085,6.10317547352741,6.081171831766721,6.066621717133937,6.033856489344778,6.018755679060128,6.036081498350837,6.06256157790536,6.0819560961204315,6.131638784869186,6.175926083208488,6.107379644651834,6.167692879584377,6.138347020900633,6.0220980633522325,6.108500855922522,6.226345483378264,6.16056948181871,6.27251946503573,6.27251946503573,6.013834928570776,6.013834928570776,6.029876991308237,6.034894976647212,6.029298566425714,6.013834928570776,6.013834928570776,6.031044098070005,6.013834928570776
SalsaDraugur,6.174970785048497,6.749656152667502,6.305060040910109,6.30538745880105,6.317608374793077,6.3187476156050035,6.314751457174229,6.184681438623763,6.382089441361195,6.239410433553738,6.260879147080443,6.1749707850484965,6.303739226919362,6.267298850140203,6.245998017104311,6.2288546430744915,6.196071287655323,6.180546725853435,6.197691065907561,6.2561691839878195,6.322411465469728,6.322961280098783,6.3803262060480925,6.336293367634801,6.385440303873903,6.322200707165849,6.183640067223887,6.28407799720309,6.4281464447001975,6.3525558694676425,6.433942096719097,6.433942096719097,6.1749707850484965,6.1749707850484965,6.191369059562444,6.197427892932409,6.191081586580362,6.1749707850484965,6.1749707850484965,6.192497340004196,6.1749707850484965
Gloomy-Concentrate-2,6.101190810883955,6.305060040910109,6.592928149033934,6.209659035834573,6.241831688081384,6.224333189609915,6.227318788431808,6.110520704286339,6.273095722950137,6.165306477109599,6.199772846473636,6.101190810883955,6.209849964024806,6.229098031650496,6.186744687371758,6.154594376085089,6.156002983387882,6.106419011236265,6.123708633793059,6.1509791216830605,6.195659901537984,6.22131931789239,6.284763314430541,6.227418398633091,6.258286731684588,6.228650441790348,6.109733357836789,6.2088962730208435,6.316218915912894,6.263231106615063,6.360219923172528,6.360219923172528,6.101190810883956,6.101190810883956,6.117817668705882,6.122988706179188,6.116894219868328,6.101190810883956,6.101190810883956,6.119227919430323,6.101190810883956
Apollo_Danger,6.12047870922081,6.30538745880105,6.209659035834573,6.632241888188423,6.250267194973093,6.244884060636687,6.236725557486552,6.16187137521274,6.329748321116456,6.18501482555834,6.204859340240762,6.1204787092208095,6.23831171235646,6.211842167483359,6.190395384970022,6.174168336325037,6.1405800000128545,6.12555085565423,6.14306101089907,6.171784193975596,6.190681774437862,6.255197892703073,6.3057954068131705,6.230257581960953,6.306542195893775,6.26723602420281,6.129088682497573,6.24145292211088,6.37343089380529,6.297323040007771,6.3794663997208305,6.3794663997208305,6.12047870922081,6.12047870922081,6.166516391239303,6.142414755052618,6.16439411331606,6.12047870922081,6.12047870922081,6.138152751168096,6.12047870922081
kchambers92,6.130427440300962,6.317608374793077,6.241831688081384,6.250267194973093,6.65391836011147,6.267136215707207,6.250878751463369,6.13995796892203,6.304484834611567,6.194818109090126,6.231935500658173,6.130427440300962,6.250187029719607,6.252938772516511,6.219287438542229,6.184928865085598,6.151225131637313,6.135527107808843,6.1532920903442365,6.180131764848955,6.223559211610023,6.252627690858018,6.350831925109414,6.244595510188778,6.3000440488122225,6.289173841137446,6.151307101894581,6.243264640953014,6.349120190064358,6.3335817749875405,6.389956550768932,6.389956550768932,6.130427440300962,6.130427440300962,6.147128895166852,6.153559736307573,6.146288769127297,6.130427440300962,6.130427440300962,6.159230685736899,6.130427440300962
Walrusin_about,6.11767878620832,6.3187476156050035,6.224333189609915,6.244884060636687,6.267136215707207,6.6273098279533045,6.2333456294194445,6.127360710060269,6.295368116245461,6.18155013033754,6.21495440701968,6.11767878620832,6.22692176711135,6.209491791850417,6.2026173200248484,6.171269900315928,6.138315373278268,6.1228806480756575,6.140106454583735,6.195368201968682,6.189366729523343,6.275781356091722,6.301855866548464,6.2407126345370845,6.298004518388099,6.2968813094256575,6.126281081766079,6.215404228982976,6.363205864899743,6.2806941566777255,6.376680259098146,6.376680259098146,6.11767878620832,6.11767878620832,6.134050183263673,6.13931153320815,6.133517975837205,6.11767878620832,6.11767878620832,6.135088999206905,6.11767878620832
Chicken-fork-king,6.116749200185291,6.314751457174229,6.227318788431808,6.236725557486552,6.250878751463369,6.2333456294194445,6.623785487283343,6.126279728806359,6.303956317579525,6.1808015414027855,6.2097278377628395,6.116749200185291,6.235822301678953,6.20814463842842,6.186201255393157,6.181116289345534,6.150061117943204,6.122048290311032,6.1510970597804215,6.167118144994436,6.210572979616164,6.253383397009794,6.3028486835011135,6.249405154868998,6.298476100306872,6.254202298472484,6.125453225021004,6.228503951902371,6.347419987079463,6.300462172045565,6.376251384572534,6.376251384572534,6.116749200185292,6.116749200185292,6.132978962773638,6.138645331653463,6.143996768078381,6.116749200185292,6.116749200185292,6.134296080350633,6.116749200185292
KeziaTML,6.023164821973158,6.184681438623763,6.110520704286339,6.16187137521274,6.13995796892203,6.127360710060269,6.126279728806359,6.432714310777146,6.19386302275423,6.085934506942204,6.105404271231387,6.023164821973158,6.120934284472798,6.112505366929793,6.090501725169103,6.075951610536319,6.043186382747161,6.02808557246251,6.04541139175322,6.071891471307742,6.091285989522814,6.141217460880443,6.185621808802722,6.116996589393796,6.177526972019473,6.148028944752581,6.031427956754615,6.118309103188716,6.236318571288524,6.1704323709900235,6.281849358438112,6.281849358438112,6.023164821973158,6.023164821973158,6.039808611137367,6.044224870049595,6.039193739984522,6.023164821973158,6.023164821973158,6.040373991472388,6.023164821973158
Krombopulos-Savage,6.18388993484397,6.382089441361195,6.273095722950137,6.329748321116456,6.304484834611567,6.295368116245461,6.303956317579525,6.19386302275423,6.7869612994722335,6.3021604804596825,6.290061930759981,6.18388993484397,6.297490929544261,6.276892000575564,6.281795425329751,6.237674931981175,6.204275562552232,6.188810685333322,6.208059114169481,6.243258487488185,6.253965405666204,6.34591941462283,6.383949714008757,6.28073298709118,6.456588497052512,6.345050381671344,6.192319653801558,6.298228597117891,6.592242314610484,6.354992799767378,6.443041477439181,6.443041477439181,6.18388993484397,6.18388993484397,6.200533724008179,6.20604333340822,6.200126321456223,6.18388993484397,6.18388993484397,6.20133697507684,6.18388993484397
Olaaphrodite,6.076604613539821,6.239410433553738,6.165306477109599,6.18501482555834,6.194818109090126,6.18155013033754,6.1808015414027855,6.085934506942204,6.3021604804596825,6.544613764295636,6.160127780318824,6.076604613539821,6.185154793894661,6.218187515748434,6.145816148045745,6.129512408383017,6.0966261743138235,6.081525364029173,6.147764948486151,6.1255433079076385,6.14483737931655,6.211509426373808,6.242023686062072,6.170237903897359,6.2347082917517325,6.225783137023747,6.084867748321278,6.186541456285248,6.296913380726041,6.225545912198403,6.335289150004775,6.335289150004775,6.076604613539821,6.076604613539821,6.093458517030314,6.09778534427422,6.092181938944102,6.076604613539821,6.076604613539821,6.0947364692898836,6.076604613539821
Pikalika,6.096074377829004,6.260879147080443,6.199772846473636,6.204859340240762,6.231935500658173,6.21495440701968,6.2097278377628395,6.105404271231387,6.290061930759981,6.160127780318824,6.581072720620159,6.096074377829004,6.1954723949231605,6.200037918097492,6.178249798223634,6.166735852263235,6.138099241141322,6.101241115847341,6.11859115041936,6.146165196179003,6.165518449049309,6.2262928395761055,6.261618789899821,6.213889064789016,6.271087217218726,6.223500260442532,6.104683471108397,6.201573919603418,6.332844828289072,6.26716299799205,6.389506789718278,6.389506789718278,6.096074377829005,6.096074377829005,6.112328416861365,6.117218541033613,6.111677459849386,6.096074377829005,6.096074377829005,6.1137400619036075,6.096074377829005
Bigbam51,6.013834928570776,6.1749707850484965,6.101190810883955,6.1204787092208095,6.130427440300962,6.11767878620832,6.116749200185291,6.023164821973158,6.18388993484397,6.076604613539821,6.096074377829004,6.413411329464503,6.11125236062085,6.10317547352741,6.081171831766721,6.066621717133937,6.033856489344778,6.018755679060128,6.036081498350837,6.06256157790536,6.0819560961204315,6.131638784869186,6.175926083208488,6.107379644651834,6.167692879584377,6.138347020900633,6.0220980633522325,6.1085008559225225,6.226345483378264,6.16056948181871,6.27251946503573,6.27251946503573,6.013834928570776,6.013834928570776,6.029876991308237,6.034894976647212,6.029298566425714,6.013834928570776,6.013834928570776,6.031044098070006,6.013834928570776
coppertech,6.11125236062085,6.303739226919362,6.209849964024806,6.23831171235646,6.250187029719607,6.22692176711135,6.235822301678953,6.120934284472798,6.297490929544261,6.185154793894661,6.1954723949231605,6.11125236062085,6.612197273819704,6.2195668194168805,6.196948602943353,6.164984299184158,6.131601766968899,6.116329312498188,6.134138572082163,6.172204591065668,6.200650181046941,6.261260909360259,6.304223847530427,6.222537228118874,6.280089975529658,6.2567574261345555,6.119872580881075,6.228714640610278,6.350873813555743,6.283114580686338,6.370179905894051,6.370179905894051,6.111252360620851,6.111252360620851,6.1278849335053565,6.133421953508135,6.127327431104515,6.111252360620851,6.111252360620851,6.129146464008941,6.111252360620851
tryM3B1tch,6.10317547352741,6.267298850140203,6.229098031650496,6.211842167483359,6.252938772516511,6.209491791850417,6.20814463842842,6.112505366929793,6.276892000575564,6.218187515748434,6.200037918097492,6.10317547352741,6.2195668194168805,6.5976912438047775,6.188106232197459,6.156515387687147,6.1241806662105445,6.108096224016762,6.1271181111054345,6.152125568015747,6.172878537060003,6.234678151302093,6.302711550486068,6.1983454112112994,6.259084194771407,6.24692427055459,6.111785506213652,6.222651439970337,6.318802016560252,6.2646115244431835,6.362185651187376,6.362185651187376,6.10317547352741,6.10317547352741,6.144351486769396,6.125684782556132,6.118825862207062,6.10317547352741,6.10317547352741,6.142586305514057,6.10317547352741
Vaelthune,6.081171831766721,6.245998017104311,6.186744687371758,6.190395384970022,6.219287438542229,6.2026173200248484,6.186201255393157,6.090501725169103,6.281795425329751,6.145816148045745,6.178249798223634,6.081171831766721,6.196948602943353,6.188106232197459,6.5506524308197385,6.134497683659857,6.101735003643707,6.0860925822560725,6.103531660178621,6.1316971180877005,6.15018969072518,6.213567080008436,6.263198545533029,6.176159769719592,6.260532389743127,6.224693206395147,6.089695648546141,6.18836932515778,6.325327877366242,6.242599962452331,6.340173304656545,6.340173304656545,6.08117183176672,6.08117183176672,6.097461792750931,6.102898144289413,6.0967236118218455,6.08117183176672,6.08117183176672,6.0988980043869665,6.08117183176672
Draxtonsmitz,6.066621717133937,6.2288546430744915,6.154594376085089,6.174168336325037,6.184928865085598,6.171269900315928,6.181116289345534,6.075951610536319,6.237674931981175,6.129512408383017,6.166735852263235,6.066621717133937,6.164984299184158,6.156515387687147,6.134497683659857,6.5235357286682145,6.086939911787856,6.0715424676232885,6.089381834836378,6.115482107823956,6.1348876729974595,6.1982409296371825,6.229712743947733,6.160629567813817,6.222341686874578,6.192151283620945,6.075336728569095,6.162103990318721,6.280289418555149,6.259312732907673,6.399405650187915,6.399405650187915,6.066621717133937,6.066621717133937,6.082663779871398,6.087681765210373,6.082160440498868,6.066621717133937,6.066621717133937,6.083830886633166,6.066621717133937
RecklessGeek,6.033856489344778,6.196071287655323,6.156002983387882,6.1405800000128545,6.151225131637313,6.138315373278268,6.150061117943204,6.043186382747161,6.204275562552232,6.0966261743138235,6.138099241141322,6.033856489344778,6.131601766968899,6.1241806662105445,6.101735003643707,6.086939911787856,6.454590620515307,6.03877723983413,6.056196917141744,6.082583138679363,6.10264288236802,6.151919260749604,6.196480189839497,6.12862696144242,6.188124095071045,6.158441996867596,6.042119624126236,6.129008690716015,6.246731111086526,6.181408979667991,6.2928479691068375,6.2928479691068375,6.033856489344779,6.033856489344779,6.049898552082239,6.054916537421215,6.0494116679687675,6.033856489344779,6.033856489344779,6.051065658844008,6.033856489344779
soda_fucker,6.018755679060128,6.180546725853435,6.106419011236265,6.12555085565423,6.135527107808843,6.1228806480756575,6.122048290311032,6.02808557246251,6.188810685333322,6.081525364029173,6.101241115847341,6.018755679060128,6.116329312498188,6.108096224016762,6.0860925822560725,6.0715424676232885,6.03877723983413,6.423431747461736,6.041002248840189,6.0674823283947115,6.087433350306774,6.136559535358539,6.180985437350001,6.129210867437656,6.172786270579195,6.143267771389985,6.027018813841584,6.113421606411874,6.231266233867616,6.165490232308062,6.277440215525082,6.277440215525082,6.018755679060128,6.018755679060128,6.034797741797589,6.039815727136564,6.034219316915066,6.018755679060128,6.018755679060128,6.035964848559358,6.018755679060128
Tinkerballsack,6.036081498350837,6.197691065907561,6.123708633793059,6.14306101089907,6.1532920903442365,6.140106454583735,6.1510970597804215,6.04541139175322,6.208059114169481,6.147764948486151,6.11859115041936,6.036081498350837,6.134138572082163,6.1271181111054345,6.103531660178621,6.089381834836378,6.056196917141744,6.041002248840189,6.459643616201759,6.084808147685421,6.104365780034008,6.154634824010593,6.198556761511761,6.129889630057483,6.19057265358036,6.161590796366809,6.044505571459676,6.131441793440371,6.248841974313609,6.19882488880751,6.294945902592365,6.294945902592365,6.036081498350837,6.036081498350837,6.052123561088298,6.057141546427274,6.051629725269456,6.036081498350837,6.036081498350837,6.053290667850067,6.036081498350837
neuromorph,6.06256157790536,6.2561691839878195,6.1509791216830605,6.171784193975596,6.180131764848955,6.195368201968682,6.167118144994436,6.071891471307742,6.243258487488185,6.1255433079076385,6.146165196179003,6.06256157790536,6.172204591065668,6.152125568015747,6.1316971180877005,6.115482107823956,6.082583138679363,6.0674823283947115,6.084808147685421,6.5165525817850805,6.13221425134031,6.200702905727621,6.229057311067631,6.157804555039151,6.223470833565538,6.191581127871033,6.070824712686817,6.1584922286802986,6.361036541824429,6.211145938734167,6.3212461143703145,6.3212461143703145,6.0625615779053605,6.0625615779053605,6.078603640642821,6.083621625981796,6.078025215760299,6.0625615779053605,6.0625615779053605,6.07977074740459,6.0625615779053605
