,AutoModerator,SalsaDraugur,Gloomy-Concentrate-2,Apollo_Danger,kchambers92,Walrusin_about,Chicken-fork-king,KeziaTML,Krombopulos-Savage,Olaaphrodite,Pikalika,Bigbam51,coppertech,tryM3B1tch,Vaelthune,Draxtonsmitz,RecklessGeek,soda_fucker,Tinkerballsack,neuromorph,AzureDementia,OneOverX,GrumpMcTaco,bongowasd,holololo2323,pumpkin2500,[deleted],VanCortez,potato_famine69,[deleted].1,mennnnnnnnnnnnnnn,YuhboiGabe,PAPAxJI,Strict_Grab_6587,Aggressive-Mix-7923,SnooBananas6578,Opening_Builder9027,Longjumping_Key_1624,0507gotquestions,Repulsive_Home_5914,tomorrowlanding
AzureDementia,6.0819560961204315,6.322411465469728,6.195659901537984,6.190681774437862,6.223559211610023,6.189366729523343,6.210572979616164,6.091285989522814,6.253965405666204,6.14483737931655,6.165518449049309,6.0819560961204315,6.200650181046941,6.172878537060003,6.15018969072518,6.1348876729974595,6.10264288236802,6.087433350306774,6.104365780034008,6.13221425134031,6.556348261197398,6.2017685110796545,6.268384785802868,6.232498662121565,6.239507166954013,6.208641037803668,6.0903865813047195,6.178225376582255,6.296952341577655,6.231803324765732,6.3406406325853855,6.3406406325853855,6.0819560961204315,6.0819560961204315,6.097998158857893,6.1037669659194504,6.0975788210061594,6.0819560961204315,6.0819560961204315,6.099316866897147,6.0819560961204315
OneOverX,6.131638784869186,6.322961280098783,6.22131931789239,6.255197892703073,6.252627690858018,6.275781356091722,6.253383397009794,6.141217460880443,6.34591941462283,6.211509426373808,6.2262928395761055,6.131638784869186,6.261260909360259,6.234678151302093,6.213567080008436,6.1982409296371825,6.151919260749604,6.136559535358539,6.154634824010593,6.200702905727621,6.2017685110796545,6.656135424445119,6.324197449898619,6.2280935776992825,6.323609954995334,6.298711738295488,6.14009181993573,6.246823639250159,6.407789831722426,6.30201901899561,6.391078410062726,6.391078410062726,6.131638784869186,6.131638784869186,6.148094166484649,6.153719319062426,6.14757770114913,6.131638784869186,6.131638784869186,6.149289659000889,6.131638784869186
GrumpMcTaco,6.175926083208488,6.3803262060480925,6.284763314430541,6.3057954068131705,6.350831925109414,6.301855866548464,6.3028486835011135,6.185621808802722,6.383949714008757,6.242023686062072,6.261618789899821,6.175926083208488,6.304223847530427,6.302711550486068,6.263198545533029,6.229712743947733,6.196480189839497,6.180985437350001,6.198556761511761,6.229057311067631,6.268384785802868,6.324197449898619,6.750372435158185,6.286836742836287,6.36158929061874,6.359834165986789,6.184842666929558,6.2976361644079395,6.455954564588051,6.35392523986106,6.434889851556917,6.434889851556917,6.175926083208488,6.175926083208488,6.192851908019096,6.255249270676039,6.192037195552349,6.175926083208488,6.175926083208488,6.194334951577912,6.175926083208488
bongowasd,6.107379644651834,6.336293367634801,6.227418398633091,6.230257581960953,6.244595510188778,6.2407126345370845,6.249405154868998,6.116996589393796,6.28073298709118,6.170237903897359,6.213889064789016,6.107379644651834,6.222537228118874,6.1983454112112994,6.176159769719592,6.160629567813817,6.12862696144242,6.129210867437656,6.129889630057483,6.157804555039151,6.232498662121565,6.2280935776992825,6.286836742836287,6.607635512786046,6.281150155297281,6.23483323857275,6.115770584041227,6.20400692961787,6.323963015967175,6.258228932433039,6.366394136230985,6.366394136230985,6.107379644651834,6.107379644651834,6.1236902519349075,6.128915611246352,6.123352473635777,6.107379644651834,6.107379644651834,6.124704591236173,6.107379644651834
holololo2323,6.167692879584377,6.385440303873903,6.258286731684588,6.306542195893775,6.3000440488122225,6.298004518388099,6.298476100306872,6.177526972019473,6.456588497052512,6.2347082917517325,6.271087217218726,6.167692879584377,6.280089975529658,6.259084194771407,6.260532389743127,6.222341686874578,6.188124095071045,6.172786270579195,6.19057265358036,6.223470833565538,6.239507166954013,6.323609954995334,6.36158929061874,6.281150155297281,6.740204467240855,6.322314299777668,6.176521181470305,6.2797259235852465,6.500591003610515,6.367567584200008,6.427156618193826,6.427156618193826,6.1676928795843775,6.1676928795843775,6.1842066345993825,6.189652730166072,6.183870064165442,6.1676928795843775,6.1676928795843775,6.1851887744547165,6.1676928795843775
pumpkin2500,6.138347020900633,6.322200707165849,6.228650441790348,6.26723602420281,6.289173841137446,6.2968813094256575,6.254202298472484,6.148028944752581,6.345050381671344,6.225783137023747,6.223500260442532,6.138347020900633,6.2567574261345555,6.24692427055459,6.224693206395147,6.192151283620945,6.158441996867596,6.143267771389985,6.161590796366809,6.191581127871033,6.208641037803668,6.298711738295488,6.359834165986789,6.23483323857275,6.322314299777668,6.671516220429932,6.14707552633363,6.258345268963816,6.415236371769918,6.314330524127723,6.397303632516005,6.397303632516005,6.138347020900634,6.138347020900634,6.154966316202736,6.161511549097821,6.154368619841738,6.138347020900634,6.138347020900634,6.156330091316231,6.138347020900634
[deleted],6.0220980633522325,6.183640067223887,6.109733357836789,6.129088682497573,6.151307101894581,6.126281081766079,6.125453225021004,6.031427956754615,6.192319653801558,6.084867748321278,6.104683471108397,6.0220980633522325,6.119872580881075,6.111785506213652,6.089695648546141,6.075336728569095,6.042119624126236,6.027018813841584,6.044505571459676,6.070824712686817,6.0903865813047195,6.14009181993573,6.184842666929558,6.115770584041227,6.176521181470305,6.14707552633363,6.430195477022013,6.117054722770995,6.234775202335851,6.185547383291044,6.280968777503138,6.280968777503138,6.0220980633522325,6.0220980633522325,6.038140126089694,6.043158111428669,6.037561701207171,6.0220980633522325,6.0220980633522325,6.039389935129268,6.0220980633522325
VanCortez,6.108500855922522,6.28407799720309,6.2088962730208435,6.24145292211088,6.243264640953014,6.215404228982976,6.228503951902371,6.118309103188716,6.298228597117891,6.186541456285248,6.201573919603418,6.1085008559225225,6.228714640610278,6.222651439970337,6.18836932515778,6.162103990318721,6.129008690716015,6.113421606411874,6.131441793440371,6.1584922286802986,6.178225376582255,6.246823639250159,6.2976361644079395,6.20400692961787,6.2797259235852465,6.258345268963816,6.117054722770995,6.606340264152649,6.341401930931622,6.276392881013372,6.367518955891785,6.367518955891785,6.108500855922522,6.108500855922522,6.125338638597467,6.144674634815593,6.137970860813086,6.108500855922522,6.108500855922522,6.1526801876576425,6.108500855922522
potato_famine69,6.226345483378264,6.4281464447001975,6.316218915912894,6.37343089380529,6.349120190064358,6.363205864899743,6.347419987079463,6.236318571288524,6.592242314610484,6.296913380726041,6.332844828289072,6.226345483378264,6.350873813555743,6.318802016560252,6.325327877366242,6.280289418555149,6.246731111086526,6.231266233867616,6.248841974313609,6.361036541824429,6.296952341577655,6.407789831722426,6.455954564588051,6.323963015967175,6.500591003610515,6.415236371769918,6.234775202335851,6.341401930931622,6.8792372423903645,6.398919436155918,6.485497025973474,6.485497025973474,6.226345483378264,6.226345483378264,6.242989272542473,6.249643081251231,6.242581869990518,6.226345483378264,6.226345483378264,6.243792523611134,6.226345483378264
[deleted],6.16056948181871,6.3525558694676425,6.263231106615063,6.297323040007771,6.3335817749875405,6.2806941566777255,6.300462172045565,6.1704323709900235,6.354992799767378,6.225545912198403,6.26716299799205,6.16056948181871,6.283114580686338,6.2646115244431835,6.242599962452331,6.259312732907673,6.181408979667991,6.165490232308062,6.19882488880751,6.211145938734167,6.231803324765732,6.30201901899561,6.35392523986106,6.258228932433039,6.367567584200008,6.314330524127723,6.185547383291044,6.276392881013372,6.398919436155918,6.715883620560649,6.448263264623119,6.448263264623119,6.16056948181871,6.16056948181871,6.177295323849407,6.182675711795889,6.176888128138812,6.16056948181871,6.16056948181871,6.178589803562504,6.16056948181871
mennnnnnnnnnnnnnn,6.27251946503573,6.433942096719097,6.360219923172528,6.3794663997208305,6.389956550768932,6.376680259098146,6.376251384572534,6.281849358438112,6.443041477439181,6.335289150004775,6.389506789718278,6.27251946503573,6.370179905894051,6.362185651187376,6.340173304656545,6.399405650187915,6.2928479691068375,6.277440215525082,6.294945902592365,6.3212461143703145,6.3406406325853855,6.391078410062726,6.434889851556917,6.366394136230985,6.427156618193826,6.397303632516005,6.280968777503138,6.367518955891785,6.485497025973474,6.448263264623119,7.332383722614517,7.332383722614517,6.27251946503573,6.27251946503573,6.288561527773191,6.293579513112166,6.287983102890667,6.27251946503573,6.27251946503573,6.289728634534959,6.27251946503573
YuhboiGabe,6.27251946503573,6.433942096719097,6.360219923172528,6.3794663997208305,6.389956550768932,6.376680259098146,6.376251384572534,6.281849358438112,6.443041477439181,6.335289150004775,6.389506789718278,6.27251946503573,6.370179905894051,6.362185651187376,6.340173304656545,6.399405650187915,6.2928479691068375,6.277440215525082,6.294945902592365,6.3212461143703145,6.3406406325853855,6.391078410062726,6.434889851556917,6.366394136230985,6.427156618193826,6.397303632516005,6.280968777503138,6.367518955891785,6.485497025973474,6.448263264623119,7.332383722614517,7.332383722614517,6.27251946503573,6.27251946503573,6.288561527773191,6.293579513112166,6.287983102890667,6.27251946503573,6.27251946503573,6.289728634534959,6.27251946503573
PAPAxJI,6.013834928570776,6.1749707850484965,6.101190810883956,6.12047870922081,6.130427440300962,6.11767878620832,6.116749200185292,6.023164821973158,6.18388993484397,6.076604613539821,6.096074377829005,6.013834928570776,6.111252360620851,6.10317547352741,6.08117183176672,6.066621717133937,6.033856489344779,6.018755679060128,6.036081498350837,6.0625615779053605,6.0819560961204315,6.131638784869186,6.175926083208488,6.107379644651834,6.1676928795843775,6.138347020900634,6.0220980633522325,6.108500855922522,6.226345483378264,6.16056948181871,6.27251946503573,6.27251946503573,6.413411329464505,6.013834928570777,6.029876991308238,6.034894976647212,6.029298566425714,6.013834928570777,6.013834928570777,6.031044098070006,6.013834928570777
Strict_Grab_6587,6.013834928570776,6.1749707850484965,6.101190810883956,6.12047870922081,6.130427440300962,6.11767878620832,6.116749200185292,6.023164821973158,6.18388993484397,6.076604613539821,6.096074377829005,6.013834928570776,6.111252360620851,6.10317547352741,6.08117183176672,6.066621717133937,6.033856489344779,6.018755679060128,6.036081498350837,6.0625615779053605,6.0819560961204315,6.131638784869186,6.175926083208488,6.107379644651834,6.1676928795843775,6.138347020900634,6.0220980633522325,6.108500855922522,6.226345483378264,6.16056948181871,6.27251946503573,6.27251946503573,6.013834928570777,6.413411329464505,6.029876991308238,6.034894976647212,6.029298566425714,6.013834928570777,6.013834928570777,6.031044098070006,6.013834928570777
Aggressive-Mix-7923,6.029876991308237,6.191369059562444,6.117817668705882,6.166516391239303,6.147128895166852,6.134050183263673,6.132978962773638,6.039808611137367,6.200533724008179,6.093458517030314,6.112328416861365,6.029876991308237,6.1278849335053565,6.144351486769396,6.097461792750931,6.082663779871398,6.049898552082239,6.034797741797589,6.052123561088298,6.078603640642821,6.097998158857893,6.148094166484649,6.192851908019096,6.1236902519349075,6.1842066345993825,6.154966316202736,6.038140126089694,6.125338638597467,6.242989272542473,6.177295323849407,6.288561527773191,6.288561527773191,6.029876991308238,6.029876991308238,6.446453627544585,6.0509370393846735,6.045869464537967,6.029876991308238,6.029876991308238,6.047426272370983,6.029876991308238
SnooBananas6578,6.034894976647212,6.197427892932409,6.122988706179188,6.142414755052618,6.153559736307573,6.13931153320815,6.138645331653463,6.044224870049595,6.20604333340822,6.09778534427422,6.117218541033613,6.034894976647212,6.133421953508135,6.125684782556132,6.102898144289413,6.087681765210373,6.054916537421215,6.039815727136564,6.057141546427274,6.083621625981796,6.1037669659194504,6.153719319062426,6.255249270676039,6.128915611246352,6.189652730166072,6.161511549097821,6.043158111428669,6.144674634815593,6.249643081251231,6.182675711795889,6.293579513112166,6.293579513112166,6.034894976647212,6.034894976647212,6.0509370393846735,6.4577689754139085,6.050479297160114,6.034894976647212,6.034894976647212,6.0523420168800826,6.034894976647212
Opening_Builder9027,6.029298566425714,6.191081586580362,6.116894219868328,6.16439411331606,6.146288769127297,6.133517975837205,6.143996768078381,6.039193739984522,6.200126321456223,6.092181938944102,6.111677459849386,6.029298566425714,6.127327431104515,6.118825862207062,6.0967236118218455,6.082160440498868,6.0494116679687675,6.034219316915066,6.051629725269456,6.078025215760299,6.0975788210061594,6.14757770114913,6.192037195552349,6.123352473635777,6.183870064165442,6.154368619841738,6.037561701207171,6.137970860813086,6.242581869990518,6.176888128138812,6.287983102890667,6.287983102890667,6.029298566425714,6.029298566425714,6.045869464537967,6.050479297160114,6.445031597458705,6.029298566425714,6.029298566425714,6.046731818997231,6.029298566425714
Longjumping_Key_1624,6.013834928570776,6.1749707850484965,6.101190810883956,6.12047870922081,6.130427440300962,6.11767878620832,6.116749200185292,6.023164821973158,6.18388993484397,6.076604613539821,6.096074377829005,6.013834928570776,6.111252360620851,6.10317547352741,6.08117183176672,6.066621717133937,6.033856489344779,6.018755679060128,6.036081498350837,6.0625615779053605,6.0819560961204315,6.131638784869186,6.175926083208488,6.107379644651834,6.1676928795843775,6.138347020900634,6.0220980633522325,6.108500855922522,6.226345483378264,6.16056948181871,6.27251946503573,6.27251946503573,6.013834928570777,6.013834928570777,6.029876991308238,6.034894976647212,6.029298566425714,6.413411329464505,6.013834928570777,6.031044098070006,6.013834928570777
0507gotquestions,6.013834928570776,6.1749707850484965,6.101190810883956,6.12047870922081,6.130427440300962,6.11767878620832,6.116749200185292,6.023164821973158,6.18388993484397,6.076604613539821,6.096074377829005,6.013834928570776,6.111252360620851,6.10317547352741,6.08117183176672,6.066621717133937,6.033856489344779,6.018755679060128,6.036081498350837,6.0625615779053605,6.0819560961204315,6.131638784869186,6.175926083208488,6.107379644651834,6.1676928795843775,6.138347020900634,6.0220980633522325,6.108500855922522,6.226345483378264,6.16056948181871,6.27251946503573,6.27251946503573,6.013834928570777,6.013834928570777,6.029876991308238,6.034894976647212,6.029298566425714,6.013834928570777,6.413411329464505,6.031044098070006,6.013834928570777
Repulsive_Home_5914,6.031044098070005,6.192497340004196,6.119227919430323,6.138152751168096,6.159230685736899,6.135088999206905,6.134296080350633,6.040373991472388,6.20133697507684,6.0947364692898836,6.1137400619036075,6.031044098070006,6.129146464008941,6.142586305514057,6.0988980043869665,6.083830886633166,6.051065658844008,6.035964848559358,6.053290667850067,6.07977074740459,6.099316866897147,6.149289659000889,6.194334951577912,6.124704591236173,6.1851887744547165,6.156330091316231,6.039389935129268,6.1526801876576425,6.243792523611134,6.178589803562504,6.289728634534959,6.289728634534959,6.031044098070006,6.031044098070006,6.047426272370983,6.0523420168800826,6.046731818997231,6.031044098070006,6.031044098070006,6.448638937110706,6.031044098070006
tomorrowlanding,6.013834928570779,6.174970785048499,6.101190810883959,6.120478709220812,6.130427440300964,6.117678786208324,6.116749200185294,6.023164821973161,6.183889934843972,6.076604613539823,6.096074377829007,6.013834928570778,6.111252360620853,6.103175473527412,6.0811718317667225,6.066621717133938,6.033856489344781,6.01875567906013,6.036081498350839,6.062561577905361,6.081956096120434,6.131638784869189,6.175926083208489,6.107379644651838,6.167692879584378,6.138347020900635,6.022098063352235,6.108500855922523,6.2263454833782665,6.160569481818711,6.272519465035732,6.272519465035732,6.013834928570779,6.013834928570779,6.029876991308239,6.034894976647214,6.029298566425716,6.013834928570779,6.013834928570779,6.031044098070008,6.413411329464505
